row_index	Esperanto	audio_key	has_audio
88	aludi	aludi	True
89	alumeto	alumeto	True
90	amara	amara	True
91	amaso	amaso	True
92	amatoro	amatoro	True
93	ambasadoro	ambasadoro	True
94	ambaŭ	ambaux	True
95	ami	ami	True
96	amiko	amiko	True
97	amplekso	amplekso	True
98	amuzi	amuzi	True
99	anaso	anaso	True
100	anekdoto	anekdoto	True
101	angulo	angulo	True
102	animalo	animalo	True
103	animo	animo	True
104	ankaŭ	ankaux	True
105	ankoraŭ	ankoraux	True
106	anonci	anonci	True
107	anstataŭ	anstataux	True
108	antaŭ	antaux	True
109	anĝelo	angxelo	True
110	aparato	aparato	True
111	aparta	aparta	True
112	apartamento	apartamento	True
113	aparteni	aparteni	True
114	apenaŭ	apenaux	True
115	aperi	aperi	True
116	apetito	apetito	True
117	aplaŭdi	aplauxdi	True
118	apliki	apliki	True
119	apogi	apogi	True
120	apoteko	apoteko	True
121	aprilo	aprilo	True
122	aprobi	aprobi	True
123	apud	apud	True
124	araneo	araneo	True
125	aranĝi	arangxi	True
126	arbitra	arbitra	True
127	arbo	arbo	True
128	arko	arko	True
129	armeo	armeo	True
130	armi	armi	True
131	artikolo	artikolo	True
132	arto	arto	True
133	arĝento	argxento	True
134	asekuri	asekuri	True
135	aserti	aserti	True
136	asocio	asocio	True
137	aspekti	aspekti	True
138	ataki	ataki	True
139	atendi	atendi	True
140	atenta	atenta	True
141	atesti	atesti	True
142	atingi	atingi	True
143	atomo	atomo	True
144	avara	avara	True
145	aventuro	aventuro	True
146	avenuo	avenuo	True
147	averti	averti	True
148	avida	avida	True
149	avo	avo	True
150	azeno	azeno	True
151	aĉeti	acxeti	True
152	aĝo	agxo	True
153	aŭ	aux	True
154	aŭdi	auxdi	True
155	aŭgusto	auxgusto	True
156	aŭskulti	auxskulti	True
157	aŭto	auxto	True
158	aŭtobuso	auxtobuso	True
159	aŭtomato	auxtomato	True
160	aŭtomobilo	auxtomobilo	True
161	aŭtoritato	auxtoritato	True
162	aŭtoro	auxtoro	True
163	aŭtuno	auxtuno	True
164	babili	babili	True
165	bagatelo	bagatelo	True
166	baki	baki	True
167	balai	balai	True
168	balanci	balanci	True
169	balbuti	balbuti	True
170	baldaŭ	baldaux	True
171	balo	balo	True
172	balono	balono	True
173	baloti	baloti	True
174	bambuo	bambuo	True
175	banano	banano	True
176	bandaĝo	bandagxo	True
177	bani	bani	True
178	banko	banko	True
179	barakti	barakti	True
180	barbo	barbo	True
181	barelo	barelo	True
182	baro	baro	True
183	bastono	bastono	True
184	batali	batali	True
185	bati	bati	True
186	bazaro	bazaro	True
187	bazo	bazo	True
188	bebo	bebo	True
189	bedaŭri	bedauxri	True
190	beko	beko	True
191	bela	bela	True
192	bendo	bendo	True
193	beni	beni	True
194	benko	benko	True
195	benzino	benzino	True
196	bero	bero	True
197	besto	besto	True
198	bezoni	bezoni	True
199	biblioteko	biblioteko	True
200	biciklo	biciklo	True
201	bieno	bieno	True
202	biero	biero	True
203	bildo	bildo	True
204	bileto	bileto	True
205	bindi	bindi	True
206	birdo	birdo	True
207	blanka	blanka	True
208	bleki	bleki	True
209	blinda	blinda	True
210	bloko	bloko	True
211	blonda	blonda	True
212	blovi	blovi	True
213	blua	blua	True
214	bluzo	bluzo	True
215	bo-	bo	True
216	boato	boato	True
217	boji	boji	True
218	boli	boli	True
219	bombono	bombono	True
220	bona	bona	True
221	bordo	bordo	True
222	bori	bori	True
223	botelo	botelo	True
224	bovo	bovo	True
225	brako	brako	True
226	branĉo	brancxo	True
227	brasiko	brasiko	True
228	brava	brava	True
229	bredi	bredi	True
230	bremso	bremso	True
231	breto	breto	True
232	briko	briko	True
233	brili	brili	True
234	bronzo	bronzo	True
235	broso	broso	True
236	brovo	brovo	True
237	broŝuro	brosxuro	True
238	brui	brui	True
239	bruli	bruli	True
240	bruna	bruna	True
241	brusto	brusto	True
242	bubo	bubo	True
243	budo	budo	True
244	buklo	buklo	True
245	bulko	bulko	True
246	bulo	bulo	True
247	bulteno	bulteno	True
248	burĝono	burgxono	True
249	butero	butero	True
250	butiko	butiko	True
251	butono	butono	True
252	buĝeto	bugxeto	True
253	buŝo	busxo	True
254	cedi	cedi	True
255	celo	celo	True
256	cemento	cemento	True
257	cent	cent	True
258	centralo	centralo	True
259	centro	centro	True
260	cepo	cepo	True
261	cerbo	cerbo	True
262	certa	certa	True
263	cervo	cervo	True
264	cetera	cetera	True
265	cifero	cifero	True
266	cigaredo	cigaredo	True
267	cigno	cigno	True
268	ciklo	ciklo	True
269	cindro	cindro	True
270	cirklo	cirklo	True
271	cirkonstanco	cirkonstanco	True
272	cirkulero	cirkulero	True
273	cirkuli	cirkuli	True
274	citi	citi	True
275	citrono	citrono	True
276	civila	civila	True
277	civilizi	civilizi	True
278	civito	civito	True
279	da	da	True
280	danci	danci	True
281	danki	danki	True
282	danĝero	dangxero	True
283	dato	dato	True
284	de	de	True
285	decembro	decembro	True
286	deci	deci	True
287	decidi	decidi	True
288	dediĉi	dedicxi	True
289	defendi	defendi	True
290	deficito	deficito	True
291	degeli	degeli	True
292	dek	dek	True
293	deklari	deklari	True
294	deklivo	deklivo	True
295	dekoracio	dekoracio	True
296	dekstra	dekstra	True
297	delegi	delegi	True
298	delikata	delikata	True
299	demandi	demandi	True
300	densa	densa	True
301	dento	dento	True
302	deponi	deponi	True
303	deputi	deputi	True
304	des	des	True
305	desegni	desegni	True
306	destini	destini	True
307	determini	determini	True
308	detrui	detrui	True
309	devi	devi	True
310	dezerto	dezerto	True
311	deziri	deziri	True
312	deĵori	dejxori	True
313	dialogo	dialogo	True
314	difekti	difekti	True
315	diferenci	diferenci	True
316	difini	difini	True
317	digesti	digesti	True
318	dika	dika	True
319	diligenta	diligenta	True
320	dimanĉo	dimancxo	True
321	dimensio	dimensio	True
322	direkto	direkto	True
323	direktoro	direktoro	True
324	diri	diri	True
325	dis-	dis	True
326	disko	disko	True
327	diskuti	diskuti	True
328	disponi	disponi	True
329	disputi	disputi	True
330	distanco	distanco	True
331	distingi	distingi	True
332	distri	distri	True
333	distribui	distribui	True
334	diveni	diveni	True
335	diversa	diversa	True
336	dividi	dividi	True
337	do	do	True
338	dogano	dogano	True
339	doktoro	doktoro	True
340	dokumento	dokumento	True
341	doloro	doloro	True
342	dolĉa	dolcxa	True
343	domo	domo	True
344	donaco	donaco	True
345	doni	doni	True
346	dormi	dormi	True
347	dorno	dorno	True
348	dorso	dorso	True
349	dramo	dramo	True
350	drato	drato	True
351	droni	droni	True
352	du	du	True
353	dubi	dubi	True
354	dum	dum	True
355	dungi	dungi	True
356	duŝo	dusxo	True
357	ebena	ebena	True
358	ebria	ebria	True
359	eduki	eduki	True
360	edzo	edzo	True
361	efektiva	efektiva	True
362	efiki	efiki	True
363	egala	egala	True
364	ek-	ek	True
365	ekipi	ekipi	True
366	eklezio	eklezio	True
367	ekonomio	ekonomio	True
368	ekrano	ekrano	True
369	eks-	eks	True
370	eksciti	eksciti	True
371	ekskursi	ekskursi	True
372	eksperimento	eksperimento	True
373	eksplodi	eksplodi	True
374	ekspluati	ekspluati	True
375	eksporti	eksporti	True
376	ekspozicio	ekspozicio	True
377	ekster	ekster	True
378	ekstrema	ekstrema	True
379	ekvilibro	ekvilibro	True
380	ekzakta	ekzakta	True
381	ekzameni	ekzameni	True
382	ekzemplo	ekzemplo	True
383	ekzerci	ekzerci	True
384	ekzisti	ekzisti	True
385	el	el	True
386	elefanto	elefanto	True
387	eleganta	eleganta	True
388	elekti	elekti	True
389	elektro	elektro	True
390	elemento	elemento	True
391	embaraso	embaraso	True
392	emerito	emerito	True
393	eminenta	eminenta	True
394	en	en	True
395	energio	energio	True
396	enigmo	enigmo	True
397	entrepreni	entrepreni	True
398	enui	enui	True
399	envii	envii	True
400	epoko	epoko	True
401	erari	erari	True
402	escepti	escepti	True
403	esenco	esenco	True
404	esperi	esperi	True
405	esplori	esplori	True
406	esprimi	esprimi	True
407	establi	establi	True
408	esti	esti	True
409	estimi	estimi	True
410	estingi	estingi	True
411	etaĝo	etagxo	True
412	etendi	etendi	True
413	eterna	eterna	True
414	evento	evento	True
415	evidenta	evidenta	True
416	eviti	eviti	True
417	evolui	evolui	True
418	eĉ	ecx	True
419	eĥo	ehxo	True
420	fabelo	fabelo	True
421	fabo	fabo	True
422	fabriko	fabriko	True
423	facila	facila	True
424	fadeno	fadeno	True
425	fajfi	fajfi	True
426	fajro	fajro	True
427	fako	fako	True
428	fakto	fakto	True
429	faldi	faldi	True
430	fali	fali	True
431	falsi	falsi	True
432	fama	fama	True
433	familiara	familiara	True
434	familio	familio	True
435	fandi	fandi	True
436	fanfaroni	fanfaroni	True
437	fantazio	fantazio	True
438	farbo	farbo	True
439	fari	fari	True
440	farmi	farmi	True
441	farti	farti	True
442	faruno	faruno	True
443	fasko	fasko	True
444	favora	favora	True
445	faŭko	fauxko	True
446	febro	febro	True
447	februaro	februaro	True
448	federacio	federacio	True
449	feliĉa	felicxa	True
450	felo	felo	True
451	fenestro	fenestro	True
452	fenomeno	fenomeno	True
453	ferio	ferio	True
454	fermi	fermi	True
455	fero	fero	True
456	fervora	fervora	True
457	festeni	festeni	True
458	festi	festi	True
459	fianĉo	fiancxo	True
460	fidela	fidela	True
461	fidi	fidi	True
462	fiera	fiera	True
463	figuro	figuro	True
464	fikcio	fikcio	True
465	fiksi	fiksi	True
466	filmo	filmo	True
467	filo	filo	True
468	financo	financo	True
469	fingro	fingro	True
470	fini	fini	True
471	firma	firma	True
472	fiziko	fiziko	True
473	fiŝo	fisxo	True
474	flago	flago	True
475	flamo	flamo	True
476	flanko	flanko	True
477	flari	flari	True
478	flava	flava	True
479	flegi	flegi	True
480	fleksi	fleksi	True
481	fliki	fliki	True
482	flirti	flirti	True
483	floro	floro	True
484	floso	floso	True
485	flugi	flugi	True
486	flui	flui	True
487	flustri	flustri	True
488	foiro	foiro	True
489	fojo	fojo	True
490	folio	folio	True
491	fondi	fondi	True
492	fonto	fonto	True
493	for	for	True
494	forgesi	forgesi	True
495	forko	forko	True
496	formo	formo	True
497	formulo	formulo	True
498	forno	forno	True
499	forta	forta	True
500	fortika	fortika	True
501	forĝi	forgxi	True
502	fosi	fosi	True
503	fosto	fosto	True
504	frago	frago	True
505	frakasi	frakasi	True
506	frandi	frandi	True
507	frapi	frapi	True
508	frato	frato	True
509	frazo	frazo	True
510	fraŭlo	frauxlo	True
511	fremda	fremda	True
512	freneza	freneza	True
513	freŝa	fresxa	True
514	fripono	fripono	True
515	friti	friti	True
516	frizi	frizi	True
517	fromaĝo	fromagxo	True
518	fronto	fronto	True
519	frosto	frosto	True
520	froti	froti	True
521	frukto	frukto	True
522	frunto	frunto	True
523	fulmo	fulmo	True
524	fumo	fumo	True
525	fundamento	fundamento	True
526	fundo	fundo	True
527	funebro	funebro	True
528	fungo	fungo	True
529	funkcio	funkcio	True
530	furioza	furioza	True
531	fuĝi	fugxi	True
532	fuŝi	fusxi	True
533	gaja	gaja	True
534	gajni	gajni	True
535	ganto	ganto	True
536	garantii	garantii	True
537	gardi	gardi	True
538	gaso	gaso	True
539	gasto	gasto	True
540	gazeto	gazeto	True
541	ge-	ge	True
542	generacio	generacio	True
543	genio	genio	True
544	gento	gento	True
545	genuo	genuo	True
546	geografio	geografio	True
547	glacio	glacio	True
548	gladi	gladi	True
549	glaso	glaso	True
550	glata	glata	True
551	glavo	glavo	True
552	gliti	gliti	True
553	globo	globo	True
554	gluti	gluti	True
555	golfo	golfo	True
556	gorĝo	gorgxo	True
557	gracia	gracia	True
558	grado	grado	True
559	grajno	grajno	True
560	gramatiko	gramatiko	True
561	gramo	gramo	True
562	granda	granda	True
563	grandioza	grandioza	True
564	graso	graso	True
565	grati	grati	True
566	gratuli	gratuli	True
567	grava	grava	True
568	graveda	graveda	True
569	greno	greno	True
570	grimpi	grimpi	True
571	griza	griza	True
572	grumbli	grumbli	True
573	grundo	grundo	True
574	gruo	gruo	True
575	grupo	grupo	True
576	gumo	gumo	True
577	gusto	gusto	True
578	guto	guto	True
579	gvidi	gvidi	True
580	haki	haki	True
581	halo	halo	True
582	halti	halti	True
583	harmonio	harmonio	True
584	haro	haro	True
585	haveno	haveno	True
586	havi	havi	True
587	hazardo	hazardo	True
588	haŭto	hauxto	True
589	hejmo	hejmo	True
590	hejti	hejti	True
591	hela	hela	True
592	helikoptero	helikoptero	True
593	helpi	helpi	True
594	hepato	hepato	True
595	herbo	herbo	True
596	heredi	heredi	True
597	heroldo	heroldo	True
598	heroo	heroo	True
599	heziti	heziti	True
600	hieraŭ	hieraux	True
601	higieno	higieno	True
602	himno	himno	True
603	hirundo	hirundo	True
604	historio	historio	True
605	hodiaŭ	hodiaux	True
606	hoko	hoko	True
607	homo	homo	True
608	honesta	honesta	True
609	honoro	honoro	True
610	honti	honti	True
611	hordeo	hordeo	True
612	horizonto	horizonto	True
613	horloĝo	horlogxo	True
614	horo	horo	True
615	hospitalo	hospitalo	True
616	hotelo	hotelo	True
617	humana	humana	True
618	humida	humida	True
619	humila	humila	True
620	humoro	humoro	True
621	hundo	hundo	True
622	ia	ia	True
623	ial	ial	True
624	iam	iam	True
625	idealo	idealo	True
626	identa	identa	True
627	ideo	ideo	True
628	ie	ie	True
629	iel	iel	True
630	ies	ies	True
631	ignori	ignori	True
632	ili	ili	True
633	ilustri	ilustri	True
634	imagi	imagi	True
635	imiti	imiti	True
636	imperio	imperio	True
637	impliki	impliki	True
638	importi	importi	True
639	imposto	imposto	True
640	impreso	impreso	True
641	imuna	imuna	True
642	inciti	inciti	True
643	indiferenta	indiferenta	True
644	indigni	indigni	True
645	indiki	indiki	True
646	individuo	individuo	True
647	indulgi	indulgi	True
648	industrio	industrio	True
649	infano	infano	True
650	infekti	infekti	True
651	infero	infero	True
652	influi	influi	True
653	informi	informi	True
654	iniciati	iniciati	True
655	injekti	injekti	True
656	inklina	inklina	True
657	inko	inko	True
658	insekto	insekto	True
659	insigno	insigno	True
660	insisti	insisti	True
661	inspiri	inspiri	True
662	instali	instali	True
663	instigi	instigi	True
664	instinkto	instinkto	True
665	instrui	instrui	True
666	instrumento	instrumento	True
667	insulo	insulo	True
668	insulti	insulti	True
669	intelekto	intelekto	True
670	inteligenta	inteligenta	True
671	intenci	intenci	True
672	inter	inter	True
673	interesi	interesi	True
674	interna	interna	True
675	interpreti	interpreti	True
676	intesto	intesto	True
677	intima	intima	True
678	inundi	inundi	True
679	inventi	inventi	True
680	inviti	inviti	True
681	inĝeniero	ingxeniero	True
682	io	io	True
683	iom	iom	True
684	iri	iri	True
685	ironio	ironio	True
686	iu	iu	True
687	izoli	izoli	True
688	ja	ja	True
689	jako	jako	True
690	jam	jam	True
691	januaro	januaro	True
692	jaro	jaro	True
693	je	je	True
694	jen	jen	True
695	jes	jes	True
696	ju	ju	True
697	jubileo	jubileo	True
698	julio	julio	True
699	juna	juna	True
700	junio	junio	True
701	jupo	jupo	True
702	juro	juro	True
703	justa	justa	True
704	juvelo	juvelo	True
705	juĝi	jugxi	True
706	kabano	kabano	True
707	kabineto	kabineto	True
708	kadro	kadro	True
709	kaduka	kaduka	True
710	kafo	kafo	True
711	kaj	kaj	True
712	kajero	kajero	True
713	kajo	kajo	True
714	kaldrono	kaldrono	True
715	kalendaro	kalendaro	True
716	kalkano	kalkano	True
717	kalkuli	kalkuli	True
718	kalsono	kalsono	True
719	kalumnii	kalumnii	True
720	kamarado	kamarado	True
721	kameno	kameno	True
722	kamiono	kamiono	True
723	kampo	kampo	True
724	kanalo	kanalo	True
725	kandelo	kandelo	True
726	kandidato	kandidato	True
727	kanti	kanti	True
728	kanzono	kanzono	True
729	kapabla	kapabla	True
730	kapitalo	kapitalo	True
731	kapo	kapo	True
732	kapro	kapro	True
733	kapti	kapti	True
734	kara	kara	True
735	karaktero	karaktero	True
736	karbo	karbo	True
737	karesi	karesi	True
738	karno	karno	True
739	karoto	karoto	True
740	karto	karto	True
741	kartono	kartono	True
742	kaserolo	kaserolo	True
743	kaso	kaso	True
744	kastelo	kastelo	True
745	katalogo	katalogo	True
746	kataro	kataro	True
747	kategorio	kategorio	True
748	kateno	kateno	True
749	kato	kato	True
750	kavo	kavo	True
751	kazo	kazo	True
752	kaĉo	kacxo	True
753	kaĝo	kagxo	True
754	kaŝi	kasxi	True
755	kaŝtano	kasxtano	True
756	kaŭzo	kauxzo	True
757	kaŭĉuko	kauxcxuko	True
758	ke	ke	True
759	kelka	kelka	True
760	kelnero	kelnero	True
761	kelo	kelo	True
762	kemio	kemio	True
763	kerno	kerno	True
764	kesto	kesto	True
765	kia	kia	True
766	kial	kial	True
767	kiam	kiam	True
768	kie	kie	True
769	kiel	kiel	True
770	kies	kies	True
771	kino	kino	True
772	kio	kio	True
773	kiom	kiom	True
774	kirurgio	kirurgio	True
775	kisi	kisi	True
776	kiu	kiu	True
777	klara	klara	True
778	klasika	klasika	True
779	klaso	klaso	True
780	klera	klera	True
781	kliento	kliento	True
782	klimato	klimato	True
783	klini	klini	True
784	klopodi	klopodi	True
785	klubo	klubo	True
786	knabo	knabo	True
787	knedi	knedi	True
788	koketa	koketa	True
789	koko	koko	True
790	kolegio	kolegio	True
791	kolektiva	kolektiva	True
792	koleri	koleri	True
793	kolizii	kolizii	True
794	kolo	kolo	True
795	kolombo	kolombo	True
796	kolono	kolono	True
797	koloro	koloro	True
798	kolumno	kolumno	True
799	komandi	komandi	True
800	kombi	kombi	True
801	kombini	kombini	True
802	komedio	komedio	True
803	komenci	komenci	True
804	komerci	komerci	True
805	komforta	komforta	True
806	komika	komika	True
807	komisii	komisii	True
808	komisiono	komisiono	True
809	komitato	komitato	True
810	komo	komo	True
811	kompanio	kompanio	True
812	kompari	kompari	True
813	kompati	kompati	True
814	kompetenta	kompetenta	True
815	kompleta	kompleta	True
816	kompliki	kompliki	True
817	komponi	komponi	True
818	kompreni	kompreni	True
819	komuna	komuna	True
820	komuniki	komuniki	True
821	koncepto	koncepto	True
822	koncerni	koncerni	True
823	koncerto	koncerto	True
824	kondamni	kondamni	True
825	kondiĉo	kondicxo	True
826	konduki	konduki	True
827	konduti	konduti	True
828	konferenco	konferenco	True
829	konfesi	konfesi	True
830	konfidenco	konfidenco	True
831	konfidi	konfidi	True
832	konfirmi	konfirmi	True
833	konfuzi	konfuzi	True
834	kongreso	kongreso	True
835	koni	koni	True
836	konjekti	konjekti	True
837	konkludi	konkludi	True
838	konkuri	konkuri	True
839	konkurso	konkurso	True
840	konscienco	konscienco	True
841	konscii	konscii	True
842	konsekvenco	konsekvenco	True
843	konsenti	konsenti	True
844	konservi	konservi	True
845	konsideri	konsideri	True
846	konsili	konsili	True
847	konsisti	konsisti	True
848	konsoli	konsoli	True
849	konstanta	konstanta	True
850	konstati	konstati	True
851	konstitucio	konstitucio	True
852	konstrui	konstrui	True
853	konsumi	konsumi	True
854	kontanta	kontanta	True
855	kontenta	kontenta	True
856	kontrakti	kontrakti	True
857	kontraŭ	kontraux	True
858	kontroli	kontroli	True
859	konvena	konvena	True
860	konversacii	konversacii	True
861	konvinki	konvinki	True
862	korbo	korbo	True
863	kordo	kordo	True
864	korekti	korekti	True
865	korespondi	korespondi	True
866	koridoro	koridoro	True
867	korno	korno	True
868	koro	koro	True
869	korpo	korpo	True
870	korto	korto	True
871	korvo	korvo	True
872	kosmo	kosmo	True
873	kosti	kosti	True
874	kostumo	kostumo	True
875	koto	koto	True
876	kotono	kotono	True
877	koverto	koverto	True
878	kovri	kovri	True
879	krado	krado	True
880	krajono	krajono	True
881	kranio	kranio	True
882	krano	krano	True
883	kravato	kravato	True
884	kraĉi	kracxi	True
885	kredi	kredi	True
886	kredito	kredito	True
887	krei	krei	True
888	kremo	kremo	True
889	krepusko	krepusko	True
890	kreski	kreski	True
891	kreto	kreto	True
892	krevi	krevi	True
893	krii	krii	True
894	krimo	krimo	True
895	kripla	kripla	True
896	kristalo	kristalo	True
897	kritiki	kritiki	True
898	krizo	krizo	True
899	krokodilo	krokodilo	True
900	krom	krom	True
901	krono	krono	True
902	kroĉi	krocxi	True
903	kruco	kruco	True
904	kruda	kruda	True
905	kruela	kruela	True
906	kruro	kruro	True
907	krusto	krusto	True
908	kruta	kruta	True
909	kruĉo	krucxo	True
910	kubo	kubo	True
911	kubuto	kubuto	True
912	kudri	kudri	True
913	kuglo	kuglo	True
914	kuiri	kuiri	True
915	kuko	kuko	True
916	kukumo	kukumo	True
917	kukurbo	kukurbo	True
918	kulero	kulero	True
919	kulpa	kulpa	True
920	kulturi	kulturi	True
921	kun	kun	True
922	kuniklo	kuniklo	True
923	kupono	kupono	True
924	kupro	kupro	True
925	kuraci	kuraci	True
926	kuraĝa	kuragxa	True
927	kurbo	kurbo	True
928	kuri	kuri	True
929	kurioza	kurioza	True
930	kurso	kurso	True
931	kurteno	kurteno	True
932	kuseno	kuseno	True
933	kutimo	kutimo	True
934	kuvo	kuvo	True
935	kuzo	kuzo	True
936	kuŝi	kusxi	True
937	kvadrato	kvadrato	True
938	kvalito	kvalito	True
939	kvankam	kvankam	True
940	kvanto	kvanto	True
941	kvar	kvar	True
942	kvartalo	kvartalo	True
943	kvazaŭ	kvazaux	True
944	kverko	kverko	True
945	kvieta	kvieta	True
946	kvin	kvin	True
947	la	la	True
948	labori	labori	True
949	laca	laca	True
950	lado	lado	True
951	lago	lago	True
952	lakto	lakto	True
953	lama	lama	True
954	lampo	lampo	True
955	lando	lando	True
956	lango	lango	True
957	lano	lano	True
958	lardo	lardo	True
959	larmo	larmo	True
960	larĝa	largxa	True
961	lasi	lasi	True
962	lasta	lasta	True
963	lavi	lavi	True
964	laŭ	laux	True
965	laŭdi	lauxdi	True
966	laŭta	lauxta	True
967	leciono	leciono	True
968	ledo	ledo	True
969	legi	legi	True
970	legomo	legomo	True
971	lekcio	lekcio	True
972	leki	leki	True
973	leono	leono	True
974	leporo	leporo	True
975	lerni	lerni	True
976	lerta	lerta	True
977	letero	letero	True
978	levi	levi	True
979	leĝo	legxo	True
980	li	li	True
981	libera	libera	True
982	libro	libro	True
983	liceo	liceo	True
984	lifto	lifto	True
985	ligi	ligi	True
986	ligno	ligno	True
987	lilio	lilio	True
988	limo	limo	True
989	lingvo	lingvo	True
990	linio	linio	True
991	lipo	lipo	True
992	listo	listo	True
993	literaturo	literaturo	True
994	litero	litero	True
995	lito	lito	True
996	litro	litro	True
997	liveri	liveri	True
998	logi	logi	True
999	logiko	logiko	True
1000	lojala	lojala	True
1001	loko	loko	True
1002	longa	longa	True
1003	loto	loto	True
1004	loĝi	logxi	True
1005	ludi	ludi	True
1006	lui	lui	True
1007	lukso	lukso	True
1008	lukti	lukti	True
1009	luli	luli	True
1010	lumi	lumi	True
1011	lundo	lundo	True
1012	luno	luno	True
1013	lupo	lupo	True
1014	magazeno	magazeno	True
1015	maizo	maizo	True
1016	majo	majo	True
1017	majstro	majstro	True
1018	maksimumo	maksimumo	True
1019	makulo	makulo	True
1020	mal-	mal	True
1021	malgraŭ	malgraux	True
1022	malica	malica	True
1023	mamo	mamo	True
1024	mandato	mandato	True
1025	maniero	maniero	True
1026	maniko	maniko	True
1027	manipuli	manipuli	True
1028	manki	manki	True
1029	mano	mano	True
1030	mantelo	mantelo	True
1031	manĝi	mangxi	True
1032	mapo	mapo	True
1033	mardo	mardo	True
1034	marko	marko	True
1035	maro	maro	True
1036	martelo	martelo	True
1037	marto	marto	True
1038	marĉo	marcxo	True
1039	marŝi	marsxi	True
1040	maso	maso	True
1041	masto	masto	True
1042	mastro	mastro	True
1043	matematiko	matematiko	True
1044	mateno	mateno	True
1045	materialo	materialo	True
1046	materio	materio	True
1047	mato	mato	True
1048	matraco	matraco	True
1049	matura	matura	True
1050	maĉi	macxi	True
1051	maŝino	masxino	True
1052	meblo	meblo	True
1053	medicino	medicino	True
1054	medikamento	medikamento	True
1055	mediti	mediti	True
1056	mekaniko	mekaniko	True
1057	mekanismo	mekanismo	True
1058	melono	melono	True
1059	mem	mem	True
1060	membro	membro	True
1061	memori	memori	True
1062	mencii	mencii	True
1063	mendi	mendi	True
1064	menso	menso	True
1065	mensogi	mensogi	True
1066	mentono	mentono	True
1067	menuo	menuo	True
1068	meriti	meriti	True
1069	merkredo	merkredo	True
1070	metalo	metalo	True
1071	meti	meti	True
1072	metio	metio	True
1073	metodo	metodo	True
1074	metro	metro	True
1075	mezo	mezo	True
1076	mezuri	mezuri	True
1077	mi	mi	True
1078	mielo	mielo	True
1079	mieno	mieno	True
1080	migri	migri	True
1081	miksi	miksi	True
1082	mil	mil	True
1083	milda	milda	True
1084	miliardo	miliardo	True
1085	miliono	miliono	True
1086	militi	militi	True
1087	minaci	minaci	True
1088	mineralo	mineralo	True
1089	minimumo	minimumo	True
1090	ministerio	ministerio	True
1091	ministro	ministro	True
1092	mino	mino	True
1093	minus	minus	True
1094	minuto	minuto	True
1095	miri	miri	True
1096	mis-	mis	True
1097	mistero	mistero	True
1098	mizero	mizero	True
1099	modelo	modelo	True
1100	modera	modera	True
1101	moderna	moderna	True
1102	modesta	modesta	True
1103	modifi	modifi	True
1104	modo	modo	True
1105	moki	moki	True
1106	mola	mola	True
1107	momento	momento	True
1108	monato	monato	True
1109	mondo	mondo	True
1110	mono	mono	True
1111	monstro	monstro	True
1112	monto	monto	True
1113	montri	montri	True
1114	monumento	monumento	True
1115	moralo	moralo	True
1116	mordi	mordi	True
1117	morgaŭ	morgaux	True
1118	moro	moro	True
1119	morti	morti	True
1120	moskito	moskito	True
1121	motoro	motoro	True
1122	movi	movi	True
1123	mueli	mueli	True
1124	multa	multa	True
1125	multipliki	multipliki	True
