row	esperanto	column	verdict	current_or_summary	suggested_minimal	reason
1746	tipo	Korean_Trans	optional_medium	유형, 전형이 되는 형식이나 모델	유형; 전형; (인쇄) 활자; (정보) 글꼴	印刷/情報義補完が有用。
1756	tono	Korean_Trans	optional_medium	소리나 목소리의 높낮이와 어조	음의 높낮이, 어조; 색조, 톤	色調義欠落。
1769	tranĉi	Chinese_Trans|Korean_Trans	keep	砍，切，剪 / …자르다	-	基本動詞として十分。
1786	trunko	Korean_Trans	keep	나무의 줄기; (인체) 몸통, 체간	-	前回補完済みで十分。
1791	tubo	Chinese_Trans|Korean_Trans	keep	管，筒 / 속이 빈 관…	-	基本義として十分。
1848	verda	Chinese_Trans	optional_low	绿色的	绿色的；未成熟的；环保的	補完は有用だが必須ではない。
1910	ĉelo	Korean_Trans	keep	작은 방…; 세포…	-	補完済み。
1959	ŝelo	Korean_Trans	keep	껍질, 껍데기	-	中核義として十分。
2020	agordi	Korean_Trans	optional_medium	악기의 음을 맞추어 조율하다	조율하다; (무선) 동조하다; (컴퓨터) 설정하다	現代IT義欠落。
2094	faktoro	Korean_Trans	optional_medium	…요인, 요소	요인, 요소; (수학) 인수	数学義補完が有用。
2117	frakcio	Korean_Trans	optional_medium	수학의 분수	분수; (정치) 파벌	政治義欠落。
2160	kancero	Korean_Trans	optional_medium	악성 종양, 암	암; (천문) 게자리	天文義補完が有用。
2249	negativa	Chinese_Trans|Korean_Trans	keep	消极的；否定的；负的 / 부정적인…	-	主要義は成立。
2263	operacio	Korean_Trans	keep	수술; 조작, 운용; 연산	-	補完済み。
2264	opozicio	Chinese_Trans|Korean_Trans	keep	反对；反对派 / 정치적 반대…	-	主要義は成立。
2270	paralela	Chinese_Trans|Korean_Trans	keep	平行的 / 평행한…	-	主要義は成立。
2284	pozitiva	Chinese_Trans|Korean_Trans	keep	积极的；肯定的；正的 / 긍정적인…	-	主要義は成立。
2313	rubo	Chinese_Trans|Korean_Trans	keep	垃圾，废料 / 쓰레기…	-	主要義は成立。
2320	simbolo	Chinese_Trans|Korean_Trans	keep	象征，符号 / 상징	-	主要義は成立。
2323	skeleto	Chinese_Trans|Korean_Trans	keep	骨骼 / …해골	-	主要義は成立。
2362	tezo	Korean_Trans	optional_low	논리나 철학에서의 명제	명제; 논제; (학위) 논문	補完は有用だが任意。
